;Unnamed: 0;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
97;13;VALE3;Stock Data + IFR + MMS + MME;model_4;;0.0447363199384065;0.2115096213849538;0.193831802802093;30.397.597.814.864.700;-0.2052271206996248
98;14;BBDC4;Stock Data + IFR + MMS + MME;model_4;;0.0256552667134767;0.160172615366912;0.1495674435425091;2.818.429.820.926.020;-0.477978501221616
99;15;ITUB4;Stock Data + IFR + MMS + MME;model_4;;0.007971337633395;0.089282347826404;0.0827193459612021;13.767.707.217.608.200;0.4782792470499521
100;16;PETR4;Google News + Twitter + IFR + MMS;model_4;;0.0055105598567016;0.0742331452701668;0.0655351969913215;1.480.187.239.152.790;0.4539224101094432
101;17;VALE3;Google News + Twitter + IFR + MMS;model_4;;0.0580605658783189;0.2409576018272073;0.2242887480736299;3.580.001.454.583.750;-0.5641914385461588
102;18;BBDC4;Google News + Twitter + IFR + MMS;model_4;;0.0327546727401864;0.1809825205377204;0.1714338736816203;32.444.324.331.794.200;-0.8869693566317518
103;19;ITUB4;Google News + Twitter + IFR + MMS;model_4;;0.0041112388997886;0.0641189433770449;0.0520227591711807;8.681.749.810.214.940;0.730921113494253
104;20;PETR4;Google News + Twitter + IFR + MME;model_4;;0.0035219771922764;0.0593462483420512;0.0510513377191389;11.546.389.606.107.300;0.6509841346757501
105;21;VALE3;Google News + Twitter + IFR + MME;model_4;;0.0649086494243224;0.2547717594717327;0.2393379895083654;3.853.814.853.231.150;-0.7486835028425449
106;22;BBDC4;Google News + Twitter + IFR + MME;model_4;;0.0591412827349042;0.2431898080407652;0.2306587885639804;4.355.244.673.430.240;-2.407.079.933.842.240
107;23;ITUB4;Google News + Twitter + IFR + MME;model_4;;0.0103719570704555;0.1018428056882542;0.0833879444294619;1.382.517.080.503.530;0.3211596972515947
108;24;PETR4;Google News + Twitter + IFR + MME + MMS;model_4;;0.0032025161693965;0.056590778130333;0.0484397980314347;1.095.303.652.606.790;0.6826416268316575
109;25;VALE3;Google News + Twitter + IFR + MME + MMS;model_4;;0.066286527423506;0.2574617008867649;0.2422649547812402;390.802.452.918.838;-0.7858044805161184
110;26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_4;;0.0315146087954113;0.1775235443410573;0.1682338656888099;3.188.687.030.934.540;-0.8155303078396829
111;27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_4;;0.0033936841658282;0.0582553359429698;0.0471191627773036;7.897.899.858.603.310;0.7778847742124176
